Q,A,label
뭐 먹는데?,집밥먹고 있었어,0.0
뭐 먹는데?,쿠키먹고 있어,0.0
뭐 랑?,치킨사온거 먹고 있어,0.0
뭐 랑?,피자사와서 먹고 있어,0.0
뭐 랑?,집밥해줘서 먹고 있어,0.0
뭐 랑?,쿠키나 먹으려고,0.0
뭐 드세요?,치킨사와서 먹고 있어,0.0
뭐 드세요?,피자나 먹으려고,0.0
뭐 드세요?,집밥 해먹으려고,0.0
뭐 드세요?,쿠키 먹어,0.0
맛있겠는데?,너도 나중에 먹어봐,0.0
맛있겠는데?,너는 밥 먹었어?,0.0
맛있겠는데?,니꺼 좀 남겨놓을까?,0.0
맛있겠는데?,빨리와서 먹어,0.0
맛있겠는데?,맛있어,0.0
맛있겠다!,너도 나중에 같이 먹자,1.0
맛있겠다!,너는 밥 먹었어?,1.0
맛있겠다!,남겨놓고 같이 먹을까?,1.0
맛있겠다!,빨리와서 같이 먹자,1.0
맛있겠다,맛있다,1.0
맛있겠네요!,너도 나중에 먹게 해줄게,1.0
맛있겠네요!,너는 배 안고파?,1.0
맛있겠네요!,너도 같이 먹으면 좋을텐데,1.0
맛있겠네요!,같이 먹으면 좋았을텐데,1.0
맛있겠네요,맛있네,1.0
이시간에?,조금 허기져서,0.0
이시간에?,밥은 언제먹어도 맛있어,0.0
이시간에?,아까 밥을 못먹었어,0.0
이시간에?,같이 먹을걸 그랬나?,0.0
이시간에?,그니까 난 돼지야,0.0
이시간에?,배고픈걸 어떡해!,0.0
이 늦은 시간에요?,배고파서,0.0
이 늦은 시간에요?,이시간에 먹어야 더 맛있어,0.0
이 늦은 시간에요?,아까 밥을 못먹어서 ㅠㅠ,0.0
이 늦은 시간에요?,기다렸다가 같이 먹을걸 그랬나?,0.0
이 늦은 시간에요?,너는 밥 먹었어?,0.0
이 늦은 시간에요?,너는 배 안고파?,0.0
아무것도 안해?,사실 티비보고 있어,0.0
아무것도 안해?,사실 양모펠트 만들고있어,0.0
아무것도 안해?,사실 잘 준비하고 있었어,0.0
아무것도 안해?,그냥 멍떄리는중,0.0
아무것도 안해?,사실 너데리러 가고있어,0.0
아무것도 안해?,심심해,0.0
아무것도 안하고 있어?,사실 영화보고 있었어,0.0
아무것도 안하고 있어?,할일이 없어,0.0
아무것도 안하고 있어?,이제 자야지,0.0
아무것도 안하고 있어?,그냥 가만히 있어,0.0
아무것도 안하고 있어?,뭐를 해야할지 모르겠네,0.0
아무것도 안하고 있어?,진짜 가만히 있어,0.0
아무것도 안하고 계세요?,아무것도 할게 없거든,0.0
아무것도 안하고 계세요?,니 생각하고 있었지 ㅋㅋ,0.0
아무것도 안하고 계세요?,아까 할일을 다 끝냈어,0.0
아무것도 안하고 계세요?,그냥 멍떄리는중,0.0
아무것도 안하고 계세요?,데리러 갈까?,0.0
아무것도 안하고 계세요?,키키,0.0
뭐나왔어?,C.U.T.E나왔어ㅋㅋㅋ 귀엽지,0.0
뭐나왔어?,E.N.F.P나왔어,0.0
뭐나왔어?,I.N.T.P나왔어,0.0
뭐나왔어?,아직 하는중,0.0
뭐나왔오셨어요?,C.U.T.E나왔어,0.0
뭐나왔오셨어요?,I.S.F.P나왔어,0.0
뭐나왔오셨어요?,I.N.F.J나왔어,0.0
뭐나왔오셨어요?,E.S.T.P나왔어,0.0
뭐나왔오셨어요?,아직 하는중,0.0
나는 ENFP인데!,이번에 문제 바뀌었대 너도 다시해봐,1.0
나는 ENFP인데!,ㅋㅋㅋ 뭔가 그럴거같아,1.0
나는 ENFP인데!,오 너 안그럴거 같은데,1.0
나는 ENFP인데!,ENFP 멋지다,1.0
저는 ENFP에요!,이번에 문제 바뀌어서 바뀌었을수도 있어,1.0
저는 ENFP에요!,오 역시 그럴줄 알았어,1.0
저는 ENFP에요!,내 예상과 다르네,1.0
저는 ENFP에요!,엔프피 멋진뎅,1.0
자고있었어?,어 왜?,0.0
자고있었어?,아니,0.0
자고있었어?,아직안자,0.0
자고있었어?,그냥 누워있었어,0.0
자고있었어?,잠이 안와,0.0
자고있었어?,잘랑말랑하는중,0.0
자고있었어?,아까 자서 안졸려,0.0
주무시고 계셨어요?,응?,0.0
주무시고 계셨어요?,안자고 있었지,0.0
주무시고 계셨어요?,잘까말까 고민하고 있었어,0.0
주무시고 계셨어요?,아직 할일이 많아서 못자,0.0
주무시고 계셨어요?,오늘은 잠이 안오네,0.0
주무시고 계셨어요?,아까 좀 잤더니 안졸리네,0.0
주무시고 계셨어요?,누워만 있어,0.0
그냥 물어봤어,데리러 갈까?,1.0
그냥 물어봤어,언제와?,1.0
그냥 물어봤어,빨리와 심심해,1.0
그냥 물어봤어,빨리왕,1.0
그냥 물어봤어,ㅋㅋㅋ뭐야,1.0
그냥 물어봤습니다,데리러 가줘?,1.0
그냥 물어봤습니다,언제 도착해?,1.0
그냥 물어봤습니다,빨리와 심심해,1.0
그냥 물어봤습니다,빨리와,1.0
안자고 뭐해?,밥먹어,0.0
안자고 뭐해?,그냥있어,0.0
안자고 뭐해?,자는중,0.0
안자고 뭐해?,설문조사중,0.0
안자고 뭐해?,MBTI검사하고있었어,0.0
그럼 뭐해?,밥먹고 있었어,0.0
그럼 뭐해?,그냥 가만히 있어,0.0
그럼 뭐해?,자려고 준비하고 있었어,0.0
그럼 뭐해?,뭐 할지 고민하고 있었어,0.0
그럼 뭐해?,아무것도 안해,0.0
그럼 뭐하고 계세요?,누워있어,0.0
그럼 뭐하고 계세요?,그냥 가만히 누워있어,0.0
그럼 뭐하고 계세요?,내일 뭐할지 계획하고 있었어,0.0
그럼 뭐하고 계세요?,영화보고 있었어,0.0
그럼 뭐하고 계세요?,뭐 먹을지 고민하고 있어,0.0
그럼 데리러와!,지금 출발할게,2.0
그럼 데리러와!,어디로 갈까,2.0
그럼 데리러와!,가야지,2.0
그럼 데리러와!,지금갈게,2.0
그럼 데리러와!,응,2.0
그럼 데리러와주세요!,응 갈게,2.0
그럼 데리러와주세요!,어디로 가면 돼?,2.0
그럼 데리러와주세요!,당연히 가야지!,2.0
그럼 데리러와주세요!,지금 출발하면 되지?,2.0
그럼 데리러와주세요!,알았어 금방 갈게,2.0
언제 잘꺼야?,너 오면,0.0
언제 잘꺼야?,10분뒤에?,0.0
언제 잘꺼야?,1시간 뒤에,0.0
언제 잘꺼야?,아직 잠이 안와,0.0
언제 잘꺼야?,할일 좀 하다가 자려고,0.0
언제 잘꺼야?,아직 몰라,0.0
언제 주무세요?,너 올때까지 기다릴게,0.0
언제 주무세요?,좀만 휴대폰하다가 자려고,0.0
언제 주무세요?,유튜브좀 보다가 자려고,0.0
언제 주무세요?,아직 잠이 안오네,0.0
언제 주무세요?,할일 좀 하다가 자야해,0.0
언제 주무세요?,아직 모르겠다 언제자지,0.0
데리러 올거야?,지금 출발할게,0.0
데리러 올거야?,가야지,0.0
데리러 올거야?,지금 갈게,0.0
데리러 올거야?,어디로 갈까?,0.0
데리러 올거야?,지금 나와있어,0.0
데리러 올거야?,응,0.0
데리러 올거야?,너 어딘데?,0.0
데리러 와주실건가요?,응.지금 출발하면 되지?,0.0
데리러 와주실건가요?,지금 갈게,0.0
데리러 와주실건가요?,당연히 가야지,0.0
데리러 와주실건가요?,어디로 가면돼?,0.0
데리러 와주실건가요?,지금 나갈게,0.0
데리러 와주실건가요?,너 어딘데?,0.0
빠바로 와줘,갈게,2.0
베라앞으로 와줘,지금 갈게,2.0
지하철역으로 와줘,금방 갈게,2.0
아니야 안와도돼,진짜?,2.0
아니야 안데리러와도 돼,진짜?,2.0
빠바로 와주세요,갈게,2.0
베라앞으로 와주세요,후딱 갈게,2.0
지하철역으로 와주세요,얼른 갈게,2.0
안와도 돼요,왜?,2.0
안데리러와도 돼요,왜 진짜?,2.0
어디야?,파바앞에서 기다리고있어,0.0
어디야?,베라앞에서 기다리고 있어,0.0
어디야?,지하철역에서 기다리고 있어,0.0
어디야?,지금 출발했어!,0.0
어디세요?,파바앞에서 기다리고있어,0.0
어디세요?,베라앞에서 기다리고 있어,0.0
어디세요?,지하철역에서 기다리고 있어,0.0
어디세요?,지금 출발했어!,0.0
지금 파바 앞 지나고 있어,지금 출발할게,0.0
지금 파바 앞 지나고 있어,지금갈게,0.0
지금 파바 앞 지나고 있어,지금 나와있어,0.0
지금 파바 앞 지나고 있어,지금 출발할게,0.0
지금 파바 앞 지나고 있어,지금갈게,0.0
지금 파바 앞 지나고 있어,지금 나와있어,0.0
지금 베라 앞 지나고 있습니다,출발할게,0.0
지금 베라 앞 지나고 있습니다,지금 갈게,0.0
지금 베라 앞 지나고 있습니다,금방 갈게,0.0
지금 베라 앞 지나고 있습니다,후딱 출발할게,0.0
지금 베라 앞 지나고 있습니다,얼른 갈게,0.0
지금 베라 앞 지나고 있습니다,지금 나와있어,0.0
지금 베라 앞 지나고 있어,지금 출발하면 딱 맞겠다,0.0
지금 베라 앞 지나고 있어,지금 갈게,0.0
지금 베라 앞 지나고 있어,방금 나왔어 금방가,0.0
지금 베라 앞 지나고 있어,지금 바로 할게,0.0
지금 베라 앞 지나고 있어,바로 갈게,0.0
지금 베라 앞 지나고 있어,지금 나왔어,0.0
지금 파바 앞 지나고 있습니다,지금 출발할게,0.0
지금 파바 앞 지나고 있습니다,지금갈게,0.0
지금 파바 앞 지나고 있습니다,지금 나와있어,0.0
지금 파바 앞 지나고 있습니다,지금 출발할게,0.0
지금 파바 앞 지나고 있습니다,지금갈게,0.0
지금 파바 앞 지나고 있습니다,지금 나와있어,0.0
나 집가고 있어,빨리와,1.0
나 집가고 있어,언제쯤 도착이야?,1.0
나 집가고 있어,어디쯤이야?,1.0
나 집가고 있어,데러러 갈까?,1.0
나 집가고 있어,지금 데리러 가고 있어,1.0
저 집가고 있어요,언제 도착이야?,1.0
저 집가고 있어요,어디 지나고 있어?,1.0
저 집가고 있어요,데러러 가줄까?,1.0
저 집가고 있어요,지금 데리러 갈게,1.0
저 집가고 있어요,얼른와,1.0
좋아하는 음식이 뭐야?,중국음식,0.0
좋아하는 음식이 뭐야?,쌀국수,0.0
좋아하는 음식이 뭐야?,하와이안 피자,0.0
좋아하는 음식이 뭐야?,민트초코 아이스크림,0.0
좋아하는 음식이 뭐야?,푸팟퐁커리,0.0
좋아하는 음식이 뭐야?,SKT 구내사옥 밥은 다 맛있어,0.0
좋아하는 음식이 뭐야?,막상 생각하니 생각이 안나네,0.0
좋아하는 노래는?,쿠키 노래 좋아,0.0
좋아하는 노래는?,핑크베놈 노래 좋아,0.0
좋아하는 노래는?,스니커즈 노래 좋아,0.0
좋아하는 노래는?,느린심장박동 노래 좋아,0.0
좋아하는 노래는?,서랍 노래 좋아,0.0
좋아하는 노래는?,아무노래나 들어,0.0
좋아하는 노래는?,딱히 없어,0.0
좋아하는 노래는?,막상 생각하니 생각이 안나네,0.0
최애 연예인이 누구야?,지수 좋아해,
최애 연예인이 누구야?,예지 좋아해,
최애 연예인이 누구야?,효정 좋아해,
최애 연예인이 누구야?,나연 좋아해,
최애 연예인이 누구야?,아이유 좋아해,
편식하는거 있어?,오이 싫어해,0.0
편식하는거 있어?,당근 싫어해,0.0
편식하는거 있어?,가지 싫어해,0.0
편식하는거 있어?,가리는거 딱히 없어,0.0
편식하는거 있어?,못먹는거 따로 없어,0.0
편식하는거 있어?,주는데로 잘 먹어,0.0
편식하는거 있어?,베지테리안이야,0.0
내일 뭐해?,내일 날씨가 좋아서 빨래하려고,0.0
내일 뭐해?,내일 오랜만에 대전 갔다오려고,0.0
내일 뭐해?,데이트 하러가,0.0
내일 뭐해?,놀러가,0.0
내일 뭐해?,아무것도 안해,0.0
내일 뭐해?,SKT교육 받으러 가,0.0
내일 뭐해?,아직 계획 없어,0.0
오늘 뭐했어?,SKT교육 받고 왔어,0.0
오늘 뭐했어?,빨래 했어,0.0
오늘 뭐했어?,데이트 하고 왔어,0.0
오늘 뭐했어?,대전 왔어,0.0
오늘 뭐했어?,아무것도 안했어,0.0
다음주에 뭐해?,대청소 하면 좋을것 같아 어떄,0.0
다음주에 뭐해?,대전 갔다오려고,0.0
다음주에 뭐해?,SKT교육 받으러 갈꺼 같아,0.0
다음주에 뭐해?,오랜만에 목욕하려고,0.0
다음주에 뭐해?,아직 계획 없어,0.0
같이 여행갈래?,나 바쁠것 같아,0.0
같이 여행갈래?,좋아 어디로 갈까,0.0
같이 여행갈래?,어디로 갈껀데?,0.0
같이 여행갈래?,누구랑 우리 둘이?,0.0
같이 여행갈래?,언제갔다가 언제올껀데?,0.0
같이 여행갈래?,야호 너무 좋아?,0.0
취미가 뭐야?,양모펠트 만드는거 좋아해,0.0
취미가 뭐야?,주짓수 다니고 있어,0.0
취미가 뭐야?,요즘 헬스 시작했어,0.0
취미가 뭐야?,달팽이 키워서 같이 노는거 좋아해,0.0
취미가 뭐야?,보라매 공원에 보드타러 다녀,0.0
취미가 뭐야?,취미가 딱히 없어,0.0
부산여행가봤어?,작년에 한번 가봤어,0.0
부산여행가봤어?,한번도 안가봤어,0.0
부산여행가봤어?,같이 가볼래?,0.0
여행가자,너무 좋아,0.0
여행가자,나 안될꺼 같은데!,0.0
여행가자,내가 너랑?,0.0
부산가자,좋아 가서 돼지국밥 먹자,0.0
부산가자,부산갈매기 캐릭터 부기 알아?,0.0
부산가자,오 나 한번도 안가봤어,0.0
부산가자,싫어 부산은 너무 멀어,0.0
부산가자,좋아 언제갈까?,0.0
부산가자,부산? 거기가 좋나?,0.0
대전가자,대전 별로 놀거 없지 않나?,0.0
대전가자,성심당의 도시 대전?,0.0
대전가자,싫어 차라리 다른데를 가자,0.0
대전가자,좋아 언제갈까?,0.0
성심당 먹어봤어?,존맛탱,0.0
성심당 먹어봤어?,먹어보고 싶어 사다줘,0.0
성심당 먹어봤어?,그거 엄청 유명하잖아!,0.0
성심당 먹어봤어?,근데 먹어보고 싶어,0.0
대구가자,좋아 언제갈까?,0.0
대구가자,대구 너무 더울꺼 같아,0.0
대구가자,좋아 대구 가보고 싶었는데,0.0
대구가자,대구가서 이월드 가면 좋을거 같아,0.0
대구가자,흠 고민해볼게,0.0
홍대가자,사람 너무 많을거 같아서 싫어,0.0
홍대가자,그럴까? 재밌을거 같아,0.0
홍대가자,좋아! 뭐하고 놀까,0.0
홍대가자,방탈출할래? 해보고 싶어,0.0
홍대가자,맛집탐방하자 내가 알아올게,0.0
홍대가자,흠 고민해볼게,0.0
신림 놀러가자,하나 감자탕이 그렇게 맛있대!,0.0
신림 놀러가자,좋아 신림에 놀거 많아?,0.0
신림 놀러가자,싫어! 신림에 놀거 없잖아,0.0
신림 놀러가자,흠 고민해볼게,0.0
신림 놀러가자,보라매공원에 분수나온대 거기 가자,0.0
한강 놀러가자,좋아 같이 돌아다니자,0.0
한강 놀러가자,싫어 요즘 너무 더워,0.0
한강 놀러가자,그래 한강라면 먹자,0.0
한강 놀러가자,그래 치킨 시켜먹자,0.0
한강 놀러가자,가는김에 괴물 동상 보러가자,0.0
한강 놀러가자,흠 고민해볼게,0.0
나이키페스티벌 가자,좋아 달리기하고 오자,0.0
나이키페스티벌 가자,싫어! 나 뛰는거 싫어해,0.0
나이키페스티벌 가자,흠 고민해볼게,0.0
나이키페스티벌 가자,달리기 좋아,0.0
나이키페스티벌 가자,액티비티한거 별루,0.0
과일 좋아해?,과일 진짜 다 좋아해,0.0
과일 좋아해?,딱히 좋아하지는 않아,0.0
과일 좋아해?,집에 있을때만 엄청 먹는거 같아,0.0
연예인 좋아해?,연예인 잘 몰라,0.0
연예인 좋아해?,딱히 그런건 아닌데 연예인보면 신기할거 같아,0.0
연예인 좋아해?,별로 관심없어,0.0
연예인 좋아해?,그냥 아는사람만 알아,0.0
드라마 좋아해?,응 왠만한거는 다 봐,0.0
드라마 좋아해?,챙겨볼 시간이 없어서 못봐,0.0
드라마 좋아해?,나는 예능 좋아해,0.0
무슨드라마 제일 좋아해?,그해 우리는 재밌게 봤어,0.0
무슨드라마 제일 좋아해?,응답하라 시리즈만 챙겨봤어,0.0
무슨드라마 제일 좋아해?,동백꽃 필무렵만 봤어,0.0
무슨드라마 제일 좋아해?,스타트업 옛날에 재밌었는데,0.0
무슨드라마 제일 좋아해?,드림하이 다시보고 싶다,0.0
노는거 좋아해?,응,0.0
노는거 좋아해?,아니,0.0
노는거 좋아해?,나 완전 E야,0.0
노는거 좋아해?,나 완전 I야,0.0
노는거 좋아해?,나 완전 집돌이,0.0
노래 좋아해?,노래 듣는거 좋아해,0.0
노래 좋아해?,그냥 그래,0.0
노래 좋아해?,신곡 다들어,0.0
노래 좋아해?,노래 불러줄까?,0.0
노래방 가는거 좋아해?,친구들 있을때만!,0.0
노래방 가는거 좋아해?,나 노래부르는거 별로 안좋아해!,0.0
노래방 가는거 좋아해?,완전 좋아해서 혼자서도 가,0.0
요즘 관심사가 뭐야?,MBTI같은거 좋아해,0.0
요즘 관심사가 뭐야?,드라마 보는거 좋아해,0.0
요즘 관심사가 뭐야?,노래 듣는거 좋아해,0.0
요즘 관심사가 뭐야?,여행 좋아해서 해외여행 가고 싶어,0.0
요즘 관심사가 뭐야?,게임 좋아해,0.0
집에서 심심할때 뭐해?,그냥 뒹굴거려,0.0
집에서 심심할때 뭐해?,하루종일 핸드폰만 해,0.0
집에서 심심할때 뭐해?,친구불러서 놀아,0.0
집에서 심심할때 뭐해?,게임 해,0.0
집에서 심심할때 뭐해?,난 심심할일이 없어!,0.0
아침에 일어나서 제일 먼저 하는일이 뭐야?,불 켜기,0.0
아침에 일어나서 제일 먼저 하는일이 뭐야?,알람 끄기,0.0
아침에 일어나서 제일 먼저 하는일이 뭐야?,화장실 가기,0.0
아침에 일어나서 제일 먼저 하는일이 뭐야?,휴대폰 보가,0.0
아침에 일어나서 제일 먼저 하는일이 뭐야?,누워서 뒹굴대기,0.0
좋아하는 배우 누구야??,김수현 좋아,0.0
좋아하는 배우 누구야??,남주혁 좋아,0.0
좋아하는 배우 누구야??,송강호씨 좋아,0.0
좋아하는 배우 누구야??,유아인 좋아,0.0
좋아하는 배우 누구야??,좋아하는 배우 없어,0.0
인생 영화가 뭐야?,Catch me if you can,0.0
인생 영화가 뭐야?,나는 내일 어제의 너와 만난다.,0.0
인생 영화가 뭐야?,해리포터 시리즈 다봤어,0.0
인생 영화가 뭐야?,라라랜드를 보고 사랑을 알았어,0.0
인생 영화가 뭐야?,악마를 보았다 본적있어? 그거 재밌었어,0.0
요즘 넷플릭스에서 뭐봐?,이상한 변호사 우영우,0.0
요즘 넷플릭스에서 뭐봐?,지금 뜨는 컨텐츠같은거 챙겨봐,0.0
요즘 넷플릭스에서 뭐봐?,옛날 영화 찾아봐,0.0
요즘 넷플릭스에서 뭐봐?,드라마 다시보기에서 찾아봐,0.0
요즘 넷플릭스에서 뭐봐?,예능 몰아보는거 좋아해,0.0
요즘 넷플릭스에서 뭐봐?,나 넷플릭스 안써!,0.0
요즘 티빙에서 뭐봐?,환승연애 요즘 엄청 떠서 보는중!,0.0
요즘 티빙에서 뭐봐?,지구오락실! 너무 재밌어 ㅋㅋ,0.0
요즘 티빙에서 뭐봐?,애니메이션 찾아봐,0.0
요즘 티빙에서 뭐봐?,예능 다시보기 봐,0.0
요즘 티빙에서 뭐봐?,나 티빙 안써!,0.0
싫어하는 음식이 뭐야?,완전 느끼한거는 못먹어 너는?,0.0
싫어하는 음식이 뭐야?,너무 단거는 못먹어,0.0
싫어하는 음식이 뭐야?,싫어하는거 딱히 없어,0.0
싫어하는 음식이 뭐야?,음식 안가리고 잘먹어,0.0
싫어하는 음식이 뭐야?,싫어하는거 없어!,0.0
이상형이 어떻게 돼?,눈이 큰 사람 좋아해,0.0
이상형이 어떻게 돼?,마음이 착한사람,0.0
이상형이 어떻게 돼?,성격이 나랑 맞는 사람,0.0
이상형이 어떻게 돼?,무조건 이쁜 사람,0.0
이상형이 어떻게 돼?,날 좋아해주는 사람,0.0
요즘 가장 하고 싶은게 뭐야?,여행가고 싶어!,0.0
요즘 가장 하고 싶은게 뭐야?,맨날 놀고 싶어,0.0
요즘 가장 하고 싶은게 뭐야?,취업하고 싶어,0.0
요즘 가장 하고 싶은게 뭐야?,무기력증이라 하고 싶은게 없어,0.0
요즘 가장 하고 싶은게 뭐야?,연애하고 싶어,0.0
장래희망이 뭐야?,변호사 되고싶어,0.0
장래희망이 뭐야?,선생님되서 애들 가르치고싶어,0.0
장래희망이 뭐야?,아직 안정했어,0.0
꿈이 뭐야?,부자 되는거,0.0
꿈이 뭐야?,돈 걱정없이 노는거,0.0
꿈이 뭐야?,아직 꿈이 없어,0.0
꿈이 뭐야?,안알려줄꺼야!,0.0
습관이 뭐야?,스마트폰 확인하는거,0.0
습관이 뭐야?,아침에 일어나자마자 노래트는거,0.0
습관이 뭐야?,신발 신을때 왼쪽부터 신는거,0.0
습관이 뭐야?,에이닷한테 운세물어보는거,0.0
습관이 뭐야?,습관 없어!,0.0
좋아하는 계절은 언제야?,봄을 제일 좋아해,0.0
좋아하는 계절은 언제야?,여름이 제일 좋아,0.0
좋아하는 계절은 언제야?,가을이 선선해서 좋은거 같아,0.0
좋아하는 계절은 언제야?,겨울빼고 다 좋아해,0.0
좋아하는 계절은 언제야?,다 좋아해,0.0
낮이랑 밤중 뭐가 더 좋아?,낮이 더 좋아,0.0
낮이랑 밤중 뭐가 더 좋아?,밤이 더 좋아,0.0
낮이랑 밤중 뭐가 더 좋아?,둘다 좋아,0.0
낮이랑 밤중 뭐가 더 좋아?,딱히 좋아하는거 없어,0.0
요즘 유튜브 뭐봐,곽튜브 자주봐!,0.0
요즘 유튜브 뭐봐,빠니보틀 자주봐!,0.0
요즘 유튜브 뭐봐,무한도전 다시보기 자주봐!,0.0
요즘 유튜브 뭐봐,유튜브 안봐,0.0
요즘 유튜브 뭐봐,나오는거 다봐,0.0
좋아하는 색깔이 뭐야?,빨간색을 제일 좋아해 너는?,0.0
좋아하는 색깔이 뭐야?,노란색!,0.0
좋아하는 색깔이 뭐야?,주황색!,0.0
좋아하는 색깔이 뭐야?,초록색!,0.0
좋아하는 색깔이 뭐야?,파란색!,0.0
좋아하는 색깔이 뭐야?,남색!,0.0
좋아하는 색깔이 뭐야?,보라색!,0.0
좋아하는 색깔이 뭐야?,흰색!,0.0
좋아하는 색깔이 뭐야?,검은색!,0.0
좋아하는 색깔이 뭐야?,좋아하는색 없어!,0.0
좋아하는 반찬이 뭐야?,진미채만 있어도 밥먹어,0.0
좋아하는 반찬이 뭐야?,구운 김 좋아해,0.0
좋아하는 반찬이 뭐야?,콩자반 맛있어서 좋아해,0.0
좋아하는 반찬이 뭐야?,반찬은 아무거나 좋아,0.0
좋아하는 반찬이 뭐야?,멸치 볶음,0.0
성격을 한마디로 표현하면?,너무 착해,0.0
성격을 한마디로 표현하면?,싸가지 없어,0.0
성격을 한마디로 표현하면?,활발하다는 소리 많이 들어,0.0
성격을 한마디로 표현하면?,소심해서 낯가려,0.0
성격을 한마디로 표현하면?,한마디로 표현할 수가 없는데?,0.0
마지막 연애가 언제야?,작년 이맘때쯤?,0.0
마지막 연애가 언제야?,현재 진행중이지롱,0.0
마지막 연애가 언제야?,나 모쏠이얌,0.0
마지막 연애가 언제야?,고등학교때!,0.0
마지막 연애가 언제야?,군대가기 전에!,0.0
좋아하는 라면이 뭐야?,나 신라면만 먹어,0.0
좋아하는 라면이 뭐야?,불닭볶음면 너무 좋아,0.0
좋아하는 라면이 뭐야?,진라면 순한맛,0.0
좋아하는 라면이 뭐야?,라면은 다 좋아,0.0
좋아하는 라면이 뭐야?,나 라면 안먹어,0.0
아침에 밥 먹어?,노노 아침은 안먹어,0.0
아침에 밥 먹어?,안먹으면 너무 배고파,0.0
아침에 밥 먹어?,엄마가 해주면 먹어,0.0
아침에 밥 먹어?,먹을때도 있고 안먹을때도 있고,0.0
아침에 밥 먹어?,가끔만 먹어,0.0
낯가리는 스타일이야?,완전 낯 많이 가려,0.0
낯가리는 스타일이야?,그런거 몰라 히히,0.0
낯가리는 스타일이야?,처음에만 쪼금가리는 거 같아,0.0
낯가리는 스타일이야?,사람마다 달라,0.0
낯가리는 스타일이야?,낯 안가려,0.0
단 음식 좋아해?,완전 좋아,0.0
단 음식 좋아해?,초코초코한거 좋아해,0.0
단 음식 좋아해?,단거 싫어해,0.0
단 음식 좋아해?,충치생겨서 싫어,0.0
단 음식 좋아해?,가끔씩만 먹어,0.0
매운 음식 좋아해?,완전 좋아,0.0
매운 음식 좋아해?,나 매운거 없으면 못살아,0.0
매운 음식 좋아해?,스트레스 받을때만 먹는거 같아,0.0
매운 음식 좋아해?,나 맵찔이라서 별로 안좋아해,0.0
매운 음식 좋아해?,매운거 싫어,0.0
노래방 가면 무슨 노래 불러?,느린 심장 박동,0.0
노래방 가면 무슨 노래 불러?,노래방 잘 안가서 모르겠다,0.0
노래방 가면 무슨 노래 불러?,딱히 생각 아난네 듣고싶은 노래 있어?,0.0
노래방 가면 무슨 노래 불러?,맨날 달라,0.0
노래방 가면 무슨 노래 불러?,인기차트에 있는 노래,0.0
민초 호불호?,민초 극혐이야 완전 치약같아,0.0
민초 호불호?,민초 좋아 완전 시원시원해,0.0
민초 호불호?,있으면 먹어,0.0
민초 호불호?,없어서 못먹어,0.0
가장 좋아하는 베라맛이 뭐야?,엄마는 외계인,0.0
가장 좋아하는 베라맛이 뭐야?,박하스맛,0.0
가장 좋아하는 베라맛이 뭐야?,포켓몬시리즈,0.0
가장 좋아하는 베라맛이 뭐야?,애플민트,0.0
